yearNum,tanf_adult_21_over,medicaid_21_over,duals_21_over,total
Jan 2016,618223,242625,756196,1617044
Feb 2016,625545,249567,758347,1633459
Mar 2016,620401,249509,758279,1628189
Apr 2016,616907,246055,759099,1622061
May 2016,619192,251946,764651,1635789
Jun 2016,612287,250391,765373,1628051
Jul 2016,612672,247332,767279,1627283
Aug 2016,618827,252607,770966,1642400
Sep 2016,614316,249152,771034,1634502
Oct 2016,607557,247551,771546,1626654
Nov 2016,609462,253616,775532,1638610
Dec 2016,605196,249978,775128,1630302
Jan 2017,607650,253777,777698,1639125
Feb 2017,606276,253273,777641,1637190
Mar 2017,601087,254762,779772,1635621
Apr 2017,599922,250821,781436,1632179
May 2017,592764,256471,785032,1634267
Jun 2017,582661,251606,785111,1619378
Jul 2017,580792,250135,787454,1618381
Aug 2017,570122,254649,789591,1614362
Sep 2017,566372,250551,791944,1608867
Oct 2017,571388,254142,795087,1620617
Nov 2017,555341,258218,790834,1604393
Dec 2017,556500,248333,803193,1608026
Jan 2018,553549,251010,800433,1604992
Feb 2018,553592,248295,797580,1599467
Mar 2018,540267,249916,800340,1590523
Apr 2018,535863,250979,800573,1587415
May 2018,529452,250633,804232,1584317
Jun 2018,523459,245991,807660,1577110
Jul 2018,554918,265766,821240,1641924
Aug 2018,551637,264441,824741,1640819
Sep 2018,549668,266274,832131,1648073
Oct 2018,549042,265419,834962,1649423
Nov 2018,541261,262519,836312,1640092
Dec 2018,538331,262397,838355,1639083
Jan 2019,531307,261189,837147,1629643
Feb 2019,529931,260712,837145,1627788
Mar 2019,525188,264479,835897,1625564
Apr 2019,522377,263879,839597,1625853
May 2019,520111,266997,836121,1623229
Jun 2019,521010,274444,833316,1628770
Jul 2019,522405,279470,829879,1631754
Aug 2019,521642,286891,825806,1634339
Sep 2019,518654,292787,821756,1633197
Oct 2019,515663,261992,854320,1631975
Nov 2019,510201,261533,857191,1628925
Dec 2019,505599,257997,858332,1621928
Jan 2020,500019,256918,858374,1615311
Feb 2020,499364,259914,861782,1621060
Mar 2020,497021,259353,862455,1618829
Apr 2020,561736,266732,869628,1698096
May 2020,615933,278357,879989,1774279
Jun 2020,642506,288169,886323,1816998
Jul 2020,667059,296318,890400,1853777
Aug 2020,690257,306662,895529,1892448
Sep 2020,711599,312916,897285,1921800
Oct 2020,734511,322788,903921,1961220
Nov 2020,755211,328533,909087,1992831
Dec 2020,775483,333837,913551,2022871
Jan 2021,789828,351092,919492,2060412
Feb 2021,811616,355607,923507,2090730
Mar 2021,834217,361298,928542,2124057
Apr 2021,850971,366705,931807,2149483
May 2021,871811,373783,936660,2182254
Jun 2021,894979,375920,940462,2211361
Jul 2021,913851,377497,943958,2235306
Aug 2021,937584,378537,947766,2263887
Sep 2021,959542,379997,949426,2288965
Oct 2021,983326,381887,952144,2317357
Nov 2021,1001003,383674,954584,2339261
Dec 2021,1016826,385126,952903,2354855
