yearQtr,total
2016 Q1,1626230.6666666667
2016 Q2,1628633.6666666667
2016 Q3,1634728.3333333333
2016 Q4,1631855.3333333333
2017 Q1,1637312
2017 Q2,1628608
2017 Q3,1613870
2017 Q4,1611012
2018 Q1,1598327.3333333333
2018 Q2,1582947.3333333333
2018 Q3,1643605.3333333333
2018 Q4,1642866
2019 Q1,1627665
2019 Q2,1625950.6666666667
2019 Q3,1633096.6666666667
2019 Q4,1627609.3333333333
2020 Q1,1618400
2020 Q2,1763124.3333333333
2020 Q3,1889341.6666666667
2020 Q4,1992307.3333333333
2021 Q1,2091733
2021 Q2,2181032.6666666665
2021 Q3,2262719.3333333335
2021 Q4,2337157.6666666665
